cellid,predicted_label
H6_P5_M17,Rejected
H6_P6_M17,Rejected
H7_P5_M17,Rejected
H9_P1_M17,Rejected
A10_P3_M23,0
A10_P4_M23,Rejected
A11_P1_M23,Rejected
A11_P2_M23,Rejected
A11_P4_M23,Rejected
A12_P4_M23,Rejected
A4_P2_M23,Rejected
A5_P2_M23,0
A6_P1_M23,Rejected
A6_P3_M23,Rejected
A8_P1_M23,0
A9_P3_M23,Rejected
A9_P4_M23,Rejected
B10_P4_M23,0
B11_P4_M23,Rejected
B12_P1_M23,Rejected
B12_P2_M23,Rejected
B12_P3_M23,Rejected
B1_P2_M23,Rejected
B1_P4_M23,Rejected
B3_P4_M23,Rejected
B4_P2_M23,Rejected
B5_P1_M23,0
B6_P3_M23,Rejected
B7_P4_M23,Rejected
B8_P2_M23,Rejected
B9_P1_M23,Rejected
B9_P2_M23,Rejected
B9_P3_M23,Rejected
B9_P4_M23,Rejected
C10_P1_M23,Rejected
C10_P2_M23,0
C10_P4_M23,Rejected
C11_P1_M23,0
C12_P1_M23,Rejected
C12_P2_M23,0
C1_P1_M23,Rejected
C1_P3_M23,Rejected
C2_P1_M23,Rejected
C2_P4_M23,Rejected
C3_P1_M23,Rejected
C3_P2_M23,0
C3_P3_M23,Rejected
C4_P3_M23,Rejected
C4_P4_M23,0
C5_P3_M23,0
C6_P4_M23,Rejected
C7_P2_M23,Rejected
C7_P4_M23,0
C8_P1_M23,Rejected
C9_P1_M23,Rejected
D10_P1_M23,Rejected
D10_P4_M23,Rejected
D11_P1_M23,Rejected
D12_P4_M23,0
D1_P1_M23,0
D1_P2_M23,Rejected
D1_P4_M23,0
D2_P1_M23,0
D3_P3_M23,Rejected
D4_P4_M23,Rejected
D6_P1_M23,Rejected
D6_P2_M23,0
D7_P2_M23,0
D8_P3_M23,Rejected
D8_P4_M23,Rejected
D9_P1_M23,0
D9_P3_M23,Rejected
D9_P4_M23,0
E10_P1_M23,0
E10_P4_M23,Rejected
E12_P1_M23,Rejected
E12_P2_M23,Rejected
E12_P4_M23,Rejected
E1_P3_M23,Rejected
E3_P3_M23,Rejected
E3_P4_M23,Rejected
E4_P2_M23,0
E4_P4_M23,Rejected
E5_P1_M23,Rejected
E5_P4_M23,0
E6_P1_M23,0
E6_P2_M23,0
E6_P3_M23,0
E7_P1_M23,Rejected
E7_P3_M23,Rejected
E7_P4_M23,Rejected
E8_P2_M23,Rejected
E9_P1_M23,Rejected
F10_P1_M23,Rejected
F10_P3_M23,Rejected
F12_P1_M23,0
F12_P3_M23,Rejected
F1_P4_M23,Rejected
F2_P1_M23,0
F2_P3_M23,Rejected
F3_P2_M23,Rejected
F4_P1_M23,Rejected
F4_P2_M23,Rejected
F4_P4_M23,Rejected
F5_P1_M23,0
F5_P2_M23,Rejected
F5_P3_M23,Rejected
F5_P4_M23,Rejected
F6_P4_M23,Rejected
F7_P2_M23,Rejected
F7_P4_M23,0
F8_P1_M23,0
F8_P2_M23,Rejected
F8_P4_M23,0
F9_P1_M23,Rejected
F9_P3_M23,Rejected
F9_P4_M23,Rejected
G10_P3_M23,Rejected
G10_P4_M23,Rejected
G12_P2_M23,0
G1_P4_M23,Rejected
G2_P2_M23,Rejected
G3_P1_M23,Rejected
G3_P2_M23,Rejected
G3_P3_M23,0
G3_P4_M23,0
G4_P1_M23,Rejected
G4_P2_M23,Rejected
G4_P4_M23,0
G5_P1_M23,Rejected
G5_P2_M23,0
G5_P3_M23,Rejected
G7_P1_M23,Rejected
G7_P4_M23,Rejected
G8_P1_M23,0
G9_P2_M23,Rejected
G9_P3_M23,0
H10_P1_M23,0
H10_P2_M23,Rejected
H10_P4_M23,Rejected
H11_P1_M23,Rejected
H11_P2_M23,0
H11_P3_M23,Rejected
H1_P2_M23,Rejected
H1_P3_M23,Rejected
H1_P4_M23,Rejected
H2_P2_M23,Rejected
H3_P4_M23,0
H4_P1_M23,Rejected
H4_P4_M23,0
H5_P3_M23,0
H7_P3_M23,Rejected
H7_P4_M23,Rejected
H8_P2_M23,Rejected
H9_P1_M23,Rejected
